trial_nr,phase,correct_shape,correct_shape_position,correct_reward,incorrect_reward,response,correct,rewarded,response_time
0,pre,circle,1.0,1,1,no response,0,1,None
1,pre,circle,1.0,1,0,right,0,0,0.3929385416704463
2,pre,circle,1.0,1,1,no response,0,1,None
3,pre,circle,0.0,1,0,left,0,0,0.4552104583272012
4,pre,circle,0.0,1,0,left,0,0,0.3576969999994617
5,pre,circle,0.0,1,0,right,1,1,0.4378746250004042
6,pre,circle,1.0,1,0,right,0,0,0.5480679166503251
7,pre,circle,1.0,0,1,left,1,0,0.282643749989802
8,pre,circle,0.0,1,0,right,1,1,0.41627258334483486
9,pre,circle,0.0,1,0,right,1,1,0.9829731666832231
10,pre,circle,1.0,0,0,right,0,0,0.8418515000084881
11,pre,circle,0.0,1,1,left,0,1,0.30946187500376254
12,pre,circle,0.0,1,1,left,0,1,0.3874364166695159
13,pre,circle,0.0,1,0,left,0,0,0.35415458332863636
14,pre,circle,1.0,1,0,right,0,0,0.3055467500089435
15,pre,circle,0.0,1,0,left,0,0,0.27111629165301565
16,pre,circle,0.0,1,1,right,1,1,0.21971433333237655
17,pre,circle,1.0,1,0,right,0,0,0.18573770832153969
18,pre,circle,0.0,1,0,left,0,0,0.10677641666552518
19,pre,circle,1.0,1,0,right,0,0,0.19543941668234766
20,pre,circle,0.0,1,1,left,0,1,0.20728758332552388
21,pre,circle,1.0,1,0,left,1,1,0.3298930000019027
22,pre,circle,0.0,1,1,left,0,1,0.2551084583392367
23,pre,circle,0.0,1,0,left,0,0,0.25977087499632034
24,pre,circle,0.0,1,0,right,1,1,0.20252495832392015
25,pre,circle,1.0,1,0,right,0,0,0.22204937500646338
26,pre,circle,1.0,0,0,right,0,0,0.011567958325031213
27,pre,circle,1.0,1,1,right,0,1,0.13825062500836793
28,pre,circle,1.0,1,0,right,0,0,0.19776950000959914
29,pre,circle,1.0,1,0,left,1,1,0.45195483333372977
30,post,square,0.0,1,0,left,0,0,0.23219299998891074
31,post,square,1.0,0,1,right,0,1,0.1582076666672947
32,post,square,1.0,1,0,right,0,0,0.1902011250058422
33,post,square,0.0,1,0,left,0,0,0.10418062499957159
34,post,square,0.0,1,0,left,0,0,0.1068620833393652
35,post,square,1.0,0,1,left,1,0,0.2765039583318867
36,post,square,0.0,1,0,right,1,1,0.04198358333087526
37,post,square,1.0,1,0,right,0,0,0.45410462499421556
38,post,square,1.0,1,1,left,1,1,0.23587841665721498
39,post,square,1.0,1,0,left,1,1,0.2373959999968065
40,post,square,0.0,0,0,right,1,0,0.4051836666476447
41,post,square,1.0,1,1,left,1,1,0.2360344166518189
42,post,square,1.0,1,0,left,1,1,0.06766966667782981
43,post,square,1.0,1,1,left,1,1,0.2753971666825237
44,post,square,1.0,1,0,left,1,1,0.2888152083323803
45,post,square,0.0,1,1,right,1,1,0.39846879165270366
46,post,square,0.0,1,0,right,1,1,0.3961282499949448
47,post,square,1.0,1,1,left,1,1,0.4329744166752789
48,post,square,1.0,1,0,left,1,1,0.37759516667574644
49,post,square,0.0,1,0,right,1,1,0.3719950416707434
50,post,square,0.0,1,0,right,1,1,0.39709608333942015
51,post,square,1.0,1,1,left,1,1,0.3953729999921052
52,post,square,0.0,1,0,right,1,1,0.3816319166799076
53,post,square,1.0,1,0,left,1,1,0.3868321250047302
54,post,square,0.0,1,0,right,1,1,0.3934210000006715
55,post,square,0.0,0,1,right,1,0,0.3219878750096541
56,post,square,0.0,1,0,right,1,1,0.3954599583230447
57,post,square,0.0,0,0,right,1,0,0.2960929999971995
58,post,square,0.0,1,0,left,0,0,0.2790964583255118
59,post,square,1.0,1,0,right,0,0,0.21902758334181271
