trial_nr,phase,correct_shape,correct_shape_position,correct_reward,incorrect_reward,response,correct,rewarded,response_time
0,pre,square,1.0,0,1,no response,0,1,None
1,pre,square,1.0,1,1,right,0,1,0.32277483331563417
2,pre,square,1.0,1,0,left,1,1,0.2501266666513402
3,pre,square,1.0,1,0,right,0,0,0.0015986250073183328
4,pre,square,0.0,0,0,right,1,0,0.21209070832992438
5,pre,square,0.0,0,0,right,1,0,0.23733637500845362
6,pre,square,0.0,0,0,left,0,0,0.24145966667856555
7,pre,square,1.0,1,0,right,0,0,0.20360816667380277
8,pre,square,1.0,1,0,left,1,1,0.03152050000790041
9,pre,square,1.0,0,0,left,1,0,0.001517750002676621
10,pre,square,1.0,1,0,left,1,1,0.05525591665355023
11,pre,square,1.0,1,1,left,1,1,0.13434545834024902
12,pre,square,0.0,1,0,left,0,0,0.16095454167225398
13,pre,square,1.0,1,1,left,1,1,0.44211620834539644
14,pre,square,0.0,1,0,left,0,0,0.45335058332420886
15,pre,square,1.0,1,1,right,0,1,0.004404458319186233
16,pre,square,0.0,1,0,right,1,1,0.49206383332784753
17,pre,square,0.0,1,0,right,1,1,0.012768666667398065
18,pre,square,0.0,1,1,right,1,1,0.014858791677397676
19,pre,square,0.0,1,0,right,1,1,0.20592091667640489
20,pre,square,0.0,1,0,right,1,1,0.06006833333231043
21,pre,square,0.0,1,0,right,1,1,0.4912485416716663
22,pre,square,1.0,0,0,right,0,0,0.20469487500668038
23,pre,square,0.0,0,0,left,0,0,0.15022962499642745
24,pre,square,1.0,1,0,right,0,0,0.06052674999227747
25,pre,square,0.0,1,0,left,0,0,0.012517625000327826
26,pre,square,1.0,1,0,right,0,0,0.19322979167918675
27,pre,square,0.0,1,0,left,0,0,0.17133475000446197
28,pre,square,0.0,0,0,left,0,0,0.29598712499137037
29,pre,square,1.0,1,1,right,0,1,0.38577554165385664
30,post,circle,1.0,1,0,right,0,0,0.2596953333268175
31,post,circle,0.0,1,1,right,1,1,0.3548423750034999
32,post,circle,1.0,0,0,left,1,0,0.1281005833443487
33,post,circle,0.0,1,0,right,1,1,0.11767037500976585
34,post,circle,0.0,1,1,right,1,1,0.17307912500109524
35,post,circle,0.0,0,0,right,1,0,0.17609620834991802
36,post,circle,0.0,1,0,left,0,0,0.21852370833221357
37,post,circle,0.0,1,0,right,1,1,0.03451833334111143
38,post,circle,0.0,1,0,right,1,1,0.2249663333350327
39,post,circle,0.0,1,0,right,1,1,0.02501733333338052
40,post,circle,0.0,1,0,right,1,1,0.12828479167365003
41,post,circle,0.0,1,0,right,1,1,0.40306120831519365
42,post,circle,1.0,1,0,right,0,0,0.14249787500011735
43,post,circle,1.0,1,0,right,0,0,0.3617365416721441
44,post,circle,1.0,0,0,right,0,0,0.09962424999685027
45,post,circle,1.0,1,0,left,1,1,0.1575497083249502
46,post,circle,0.0,1,0,left,0,0,0.09187345832469873
47,post,circle,1.0,1,0,right,0,0,0.41536749999795575
48,post,circle,1.0,1,0,right,0,0,0.21013520832639188
49,post,circle,1.0,1,0,right,0,0,0.1676058750017546
50,post,circle,1.0,1,0,right,0,0,0.016506999992998317
51,post,circle,1.0,1,0,left,1,1,0.3589508333388949
52,post,circle,0.0,1,0,left,0,0,0.24294570833444595
53,post,circle,0.0,1,0,right,1,1,0.009162916656350717
54,post,circle,1.0,1,0,right,0,0,0.2456897499941988
55,post,circle,1.0,0,0,left,1,0,0.23968262498965487
56,post,circle,1.0,1,0,right,0,0,0.28960566665045917
57,post,circle,1.0,0,1,right,0,1,0.41453512500447687
58,post,circle,0.0,0,0,right,1,0,0.2921283333271276
59,post,circle,0.0,1,1,left,0,1,0.19305695832008496
