trial_nr,phase,correct_shape,correct_shape_position,correct_reward,incorrect_reward,response,correct,rewarded,response_time
0,pre,square,1.0,0,0,no response,0,0,None
1,pre,square,0.0,1,1,right,1,1,1.0889742083236342
2,pre,square,0.0,1,0,right,1,1,0.8255912499880651
3,pre,square,0.0,1,0,right,1,1,0.41818033333402127
4,pre,square,1.0,1,0,left,1,1,0.44850374999805354
5,pre,square,1.0,1,1,left,1,1,0.496383000005153
6,pre,square,1.0,1,0,left,1,1,0.49835166666889563
7,pre,square,1.0,1,1,left,1,1,0.39638537500286475
8,pre,square,0.0,1,0,right,1,1,0.5515140000061365
9,pre,square,1.0,1,0,left,1,1,0.5583639999968
10,pre,square,0.0,1,1,right,1,1,0.4215387083386304
11,pre,square,1.0,1,0,left,1,1,0.46353654166159686
12,pre,square,1.0,1,0,right,0,0,0.6919253333471715
13,pre,square,1.0,1,0,left,1,1,0.35941741667920724
14,pre,square,0.0,1,0,right,1,1,0.4212183333293069
15,pre,square,1.0,1,0,left,1,1,0.3962886250083102
16,pre,square,1.0,1,1,left,1,1,0.4473366666788934
17,pre,square,1.0,0,0,left,1,0,0.39537141665641684
18,pre,square,0.0,1,0,right,1,1,0.505421291658422
19,pre,square,0.0,1,0,right,1,1,0.3587079166609328
20,pre,square,0.0,1,0,right,1,1,0.36513424999429844
21,pre,square,0.0,1,0,right,1,1,0.3938968750007916
22,pre,square,1.0,0,0,left,1,0,0.4439001249993453
23,pre,square,0.0,0,1,right,1,0,0.5376858750096289
24,pre,square,0.0,0,0,left,0,0,0.4563133750052657
25,pre,square,0.0,1,0,right,1,1,0.43974062500637956
26,pre,square,0.0,1,0,right,1,1,0.3979670416592853
27,pre,square,1.0,1,0,left,1,1,0.45139000000199303
28,pre,square,1.0,0,0,left,1,0,0.4588004166726023
29,pre,square,0.0,1,1,right,1,1,0.5832722500053933
30,post,circle,1.0,1,0,right,0,0,0.4531645416718675
31,post,circle,1.0,0,0,right,0,0,1.1072634583397303
32,post,circle,0.0,1,0,left,0,0,0.44561037499806844
33,post,circle,0.0,1,0,left,0,0,0.6943815416598227
34,post,circle,0.0,0,0,right,1,0,0.7151365416648332
35,post,circle,1.0,0,0,right,0,0,0.8874079583329149
36,post,circle,1.0,1,0,right,0,0,1.206758666652604
37,post,circle,1.0,1,0,left,1,1,0.5074410416709725
38,post,circle,0.0,1,0,right,1,1,0.4639715000084834
39,post,circle,0.0,1,0,right,1,1,0.3798159583384404
40,post,circle,1.0,1,1,left,1,1,0.5702881250035716
41,post,circle,0.0,1,0,right,1,1,0.5631827916658949
42,post,circle,1.0,1,0,left,1,1,0.4173412083328003
43,post,circle,1.0,1,1,left,1,1,0.4531988333328627
44,post,circle,1.0,1,0,left,1,1,0.406060333334608
45,post,circle,1.0,1,0,left,1,1,0.37907758334768005
46,post,circle,0.0,1,1,right,1,1,0.37921591666236054
47,post,circle,0.0,1,0,right,1,1,0.3959672916535055
48,post,circle,0.0,1,0,right,1,1,0.7659307916765101
49,post,circle,0.0,1,0,right,1,1,0.4718212083389517
50,post,circle,1.0,1,0,left,1,1,0.5366891250014305
51,post,circle,1.0,1,0,right,0,0,0.3779309999954421
52,post,circle,0.0,1,1,right,1,1,0.44879541666887235
53,post,circle,0.0,1,0,right,1,1,0.7238242083258228
54,post,circle,0.0,0,0,right,1,0,0.391242958343355
55,post,circle,0.0,1,0,left,0,0,0.410524874998373
56,post,circle,1.0,1,0,right,0,0,0.37442337500397116
57,post,circle,1.0,0,0,right,0,0,0.6245403749926481
58,post,circle,1.0,1,0,left,1,1,0.36277804167184513
59,post,circle,0.0,0,0,right,1,0,0.3858252916688798
