trial_nr,phase,correct_shape,correct_shape_position,correct_reward,incorrect_reward,response,correct,rewarded,response_time
0,pre,square,0.0,1,1,right,1,1,0.7166385416785488
1,pre,square,0.0,0,0,right,1,0,0.5259952916676411
2,pre,square,1.0,1,0,right,0,0,0.41989304166054353
3,pre,square,0.0,1,0,right,1,1,0.615033541660523
4,pre,square,1.0,1,0,left,1,1,0.6242530000017723
5,pre,square,0.0,1,0,right,1,1,0.6071305833174847
6,pre,square,0.0,0,0,right,1,0,0.6718315416801488
7,pre,square,0.0,0,1,right,1,0,0.7180416250048438
8,pre,square,0.0,1,0,left,0,0,0.4131887499970617
9,pre,square,0.0,1,0,left,0,0,0.5733898333419347
10,pre,square,0.0,1,0,no response,0,0,None
11,pre,square,1.0,1,0,left,1,1,0.44183024999802
12,pre,square,0.0,0,0,right,1,0,0.3812233749922598
13,pre,square,1.0,1,1,left,1,1,0.35144708334701136
14,pre,square,1.0,0,0,left,1,0,0.40622154166339897
15,pre,square,1.0,0,0,right,0,0,0.3554735833458835
16,pre,square,1.0,1,0,left,1,1,0.3619040416670032
17,pre,square,1.0,1,1,left,1,1,0.48570120832300745
18,pre,square,1.0,1,0,left,1,1,0.3590718333434779
19,pre,square,0.0,1,0,right,1,1,0.37034270833828487
20,pre,square,1.0,1,0,left,1,1,0.34081987499666866
21,pre,square,1.0,1,0,left,1,1,0.3702189999894472
22,pre,square,0.0,1,0,right,1,1,0.364897249994101
23,pre,square,0.0,1,0,right,1,1,0.3862272083351854
24,pre,square,1.0,0,1,left,1,0,0.37823608332837466
25,pre,square,1.0,1,0,left,1,1,0.4261602083424805
26,pre,square,0.0,1,1,right,1,1,0.3556316666654311
27,pre,square,1.0,1,0,left,1,1,0.37417995833675377
28,pre,square,0.0,1,0,right,1,1,0.23525837500346825
29,pre,square,1.0,0,0,left,1,0,0.36711662501329556
30,post,circle,0.0,1,0,left,0,0,0.30258137499913573
31,post,circle,1.0,1,0,left,1,1,0.5074793333187699
32,post,circle,0.0,1,0,right,1,1,0.5774197916762205
33,post,circle,0.0,0,1,right,1,0,0.846073458349565
34,post,circle,0.0,0,0,left,0,0,0.5023536666703876
35,post,circle,0.0,1,0,right,1,1,0.4135240000032354
36,post,circle,1.0,1,0,left,1,1,0.39136079167656135
37,post,circle,1.0,1,0,left,1,1,0.3523515416745795
38,post,circle,1.0,1,0,left,1,1,0.3346554166637361
39,post,circle,1.0,1,0,left,1,1,0.41072958332370035
40,post,circle,1.0,1,0,left,1,1,0.33312791667412966
41,post,circle,1.0,1,0,left,1,1,0.3882840000005672
42,post,circle,0.0,1,0,right,1,1,0.3911037500074599
43,post,circle,1.0,0,0,left,1,0,0.35293774999445304
44,post,circle,1.0,0,0,left,1,0,0.3458708749967627
45,post,circle,0.0,1,0,right,1,1,0.293363666642108
46,post,circle,1.0,1,0,left,1,1,0.3309561666828813
47,post,circle,0.0,1,0,left,0,0,0.3256159166630823
48,post,circle,1.0,1,1,left,1,1,0.3764976249949541
49,post,circle,0.0,1,0,right,1,1,0.3608073749928735
50,post,circle,1.0,1,0,left,1,1,0.3350522499968065
51,post,circle,1.0,1,1,left,1,1,0.3555836666782852
52,post,circle,0.0,1,0,right,1,1,0.35108762499294244
53,post,circle,0.0,1,0,right,1,1,0.36511766667535994
54,post,circle,0.0,1,0,right,1,1,0.3995252083404921
55,post,circle,0.0,1,1,right,1,1,0.37942770833615214
56,post,circle,1.0,0,0,left,1,0,0.35455012500460725
57,post,circle,1.0,1,1,left,1,1,0.5846965833188733
58,post,circle,0.0,1,0,right,1,1,0.3587851249903906
59,post,circle,0.0,0,0,left,0,0,0.36710979166673496
